movie_id,image_seq,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,elapsed_time,gaze,blink,eye_offset
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,68,7.75089,21.5089,40.9572,5.60192,5.77371,11.7535,6.65396,fear,#N/A,1,0,21.7889
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,69,11.6053,0.174342,1.82199,7.44926,11.0737,1.6181,66.2573,neutral,67,1,0,1.3413
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,70,61.2276,0.0176388,13.4765,0.772174,5.35902,8.76696,10.3802,angry,#N/A,1,0,-2.5824
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,71,5.89018,0.0180262,84.9939,3.22583,1.45474,2.91292,1.50436,fear,#N/A,0,0,32.0872
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,72,21.4241,0.053185,2.00737,3.95,4.03066,0.660535,67.8742,neutral,#N/A,1,0,19.8095
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,73,2.45798,9.37204,9.5389,32.4658,41.2659,0.878572,4.02077,sad,#N/A,0,0,32.7763
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,75,4.89265,0.000222468,0.276787,17.4222,2.22918,0.707575,74.4714,neutral,72,#N/A,#N/A,#N/A
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,76,8.42547,0.101945,1.39533,11.0875,5.09123,0.630006,73.2685,neutral,73,1,0,-0.7126
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,77,1.61874,0.013703,0.955855,7.83338,12.1273,0.0865547,77.3645,neutral,74,0,0,29.9251
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,78,67.0309,0.0174782,5.41933,2.6731,1.91184,7.59721,15.3502,angry,#N/A,1,0,0.7693
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,80,1.03942,9.02E-05,14.7859,0.152082,0.00490304,84.0172,0.000486862,surprise,#N/A,#N/A,#N/A,#N/A
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,82,1.74324,0.0127675,8.90398,3.4132,34.3953,0.165059,51.3665,neutral,#N/A,0,0,25.203
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,83,14.1849,0.830467,53.1759,5.01639,5.38367,7.00945,14.3993,fear,#N/A,1,0,22.9788
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,84,3.64011,0.0268279,72.0056,1.51253,4.85831,3.14633,14.8103,fear,#N/A,0,0,27.4699
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,85,4.92836,0.00343311,64.6208,1.30237,1.59511,26.5407,1.00932,fear,#N/A,1,0,-2.0083
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,87,4.24207,0.00199911,38.3563,0.000278417,56.088,0.232915,1.07852,sad,#N/A,#N/A,#N/A,#N/A
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,88,7.11108,2.18E-07,6.13468,4.04E-05,0.0161062,86.6896,0.048516,surprise,#N/A,0,0,25.3435
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,89,4.93507,0.280023,57.3569,7.78013,5.05821,2.82773,21.762,fear,84,1,0,24.7441
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,90,1.57152,0.0976368,6.36687,14.0107,37.5029,1.3765,39.0738,neutral,#N/A,0,0,25.5737
